SITE,TYPE,LOC,SER
site01,culvert,down,101a
site03,culvert,down,102a
site05,culvert,down,103a
site07,culvert,down,104a
site11,culvert,down,106a
site15,culvert,down,108a
site17,culvert,down,109a
site19,culvert,down,110a
site21,culvert,down,111a
site23,culvert,down,112a
site25,culvert,down,118a
site02,culvert,up,101a
site04,culvert,up,102a
site06,culvert,up,103a
site08,culvert,up,104a
site12,culvert,up,106a
site16,culvert,up,108a
site18,culvert,up,109a
site20,culvert,up,110a
site22,culvert,up,111a
site24,culvert,up,112a
site26,culvert,up,118a
site09,dbridge,down,105a
site13,dbridge,down,107a
site27,dbridge,down,126a
site29,dbridge,down,127a
site31,dbridge,down,128a
site33,dbridge,down,129a
site35,dbridge,down,130a
site37,dbridge,down,131a
site39,dbridge,down,132a
site41,dbridge,down,133a
site43,dbridge,down,134a
site10,dbridge,up,105a
site14,dbridge,up,107a
site28,dbridge,up,126a
site30,dbridge,up,127a
site32,dbridge,up,128a
site34,dbridge,up,129a
site36,dbridge,up,130a
site38,dbridge,up,131a
site40,dbridge,up,132a
site42,dbridge,up,133a
site44,dbridge,up,134a
site45,ref,down,136a
site47,ref,down,137a
site49,ref,down,138a
site51,ref,down,139a
site53,ref,down,140a
site55,ref,down,141a
site57,ref,down,142a
site59,ref,down,143a
site61,ref,down,144a
site63,ref,down,145a
site65,ref,down,146a
site46,ref,up,136a
site48,ref,up,137a
site50,ref,up,138a
site52,ref,up,139a
site54,ref,up,140a
site56,ref,up,141a
site58,ref,up,142a
site60,ref,up,143a
site62,ref,up,144a
site64,ref,up,145a
site66,ref,up,146a
